'Amministrazioni e politiche pubbliche (APP)','https://www.unimi.it/it/corsi/corsi-di-laurea/amministrazioni-e-politiche-pubbliche-app','Laurea magistrale','unimi'
'Archeologia','https://www.unimi.it/it/corsi/corsi-di-laurea/archeologia','Laurea magistrale','unimi'
'Biodiversità ed evoluzione biologica','https://www.unimi.it/it/corsi/corsi-di-laurea/biodiversita-ed-evoluzione-biologica','Laurea magistrale','unimi'
'Biogeoscienze: analisi degli ecosistemi e comunicazione delle scienze','https://www.unimi.it/it/corsi/corsi-di-laurea/biogeoscienze-analisi-degli-ecosistemi-e-comunicazione-delle-scienze','Laurea magistrale','unimi'
'Bioinformatics for computational genomics','https://www.unimi.it/it/corsi/corsi-di-laurea/bioinformatics-computational-genomics','Laurea magistrale','unimi'
'Biologia applicata alla ricerca biomedica','https://www.unimi.it/it/corsi/corsi-di-laurea/biologia-applicata-alla-ricerca-biomedica','Laurea magistrale','unimi'
'Biologia applicata alle scienze della nutrizione','https://www.unimi.it/it/corsi/corsi-di-laurea/biologia-applicata-alle-scienze-della-nutrizione','Laurea magistrale','unimi'
'Biomedical Omics (BO)','https://www.unimi.it/it/corsi/corsi-di-laurea/biomedical-omics-bo','Laurea magistrale','unimi'
'Biotechnology for the Bioeconomy','https://www.unimi.it/it/corsi/corsi-di-laurea/biotechnology-bioeconomy','Laurea magistrale','unimi'
'Biotecnologie del farmaco','https://www.unimi.it/it/corsi/corsi-di-laurea/biotecnologie-del-farmaco','Laurea magistrale','unimi'
'Comunicazione pubblica e d'impresa (COM)','https://www.unimi.it/it/corsi/corsi-di-laurea/comunicazione-pubblica-e-dimpresa-com','Laurea magistrale','unimi'
'Data science and economics (DSE)','https://www.unimi.it/it/corsi/corsi-di-laurea/data-science-and-economics-dse','Laurea magistrale','unimi'
'Economics and political science (EPS)','https://www.unimi.it/it/corsi/corsi-di-laurea/economics-and-political-science-eps','Laurea magistrale','unimi'
'Editoria, culture della comunicazione e della moda','https://www.unimi.it/it/corsi/corsi-di-laurea/editoria-culture-della-comunicazione-e-della-moda','Laurea magistrale','unimi'
'Environmental and food economics','https://www.unimi.it/it/corsi/corsi-di-laurea/environmental-and-food-economics','Laurea magistrale','unimi'
'Environmental Change and Global Sustainability (ECGS)','https://www.unimi.it/it/corsi/corsi-di-laurea/environmental-change-and-global-sustainability-ecgs','Laurea magistrale','unimi'
'Filologia, letterature e storia dell'antichità','https://www.unimi.it/it/corsi/corsi-di-laurea/filologia-letterature-e-storia-dellantichita','Laurea magistrale','unimi'
'Finance and economics (MEF)','https://www.unimi.it/it/corsi/corsi-di-laurea/finance-and-economics-mef','Laurea magistrale','unimi'
'Fisica (magistrale)','https://www.unimi.it/it/corsi/corsi-di-laurea/fisica-magistrale','Laurea magistrale','unimi'
'Global Politics and Society (GPS)','https://www.unimi.it/it/corsi/corsi-di-laurea/global-politics-and-society-gps','Laurea magistrale','unimi'
'Industrial Chemistry ','https://www.unimi.it/it/corsi/corsi-di-laurea/industrial-chemistry','Laurea magistrale','unimi'
'Informatica - magistrale','https://www.unimi.it/it/corsi/corsi-di-laurea/informatica-magistrale','Laurea magistrale','unimi'
'Law and Sustainable Development','https://www.unimi.it/it/corsi/corsi-di-laurea/law-and-sustainable-development','Laurea magistrale','unimi'
'Lettere moderne','https://www.unimi.it/it/corsi/corsi-di-laurea/lettere-moderne','Laurea magistrale','unimi'
